2026-03-21 22:10:35,852 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0378s | Status: 200
2026-03-21 22:10:37,344 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 7.8592s | Status: 200
2026-03-21 22:10:37,932 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 7.6594s | Status: 200
2026-03-21 22:10:42,549 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 6.8878s | Status: 200
2026-03-21 22:10:42,645 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.0777s | Status: 200
2026-03-21 22:10:42,713 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.0544s | Status: 200
2026-03-21 22:10:42,779 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0464s | Status: 200
2026-03-21 22:10:44,376 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 6.3971s | Status: 200
2026-03-21 22:10:45,702 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.0719s | Status: 200
2026-03-21 22:10:45,774 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.0522s | Status: 200
2026-03-21 22:10:45,844 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0382s | Status: 200
2026-03-21 22:10:47,759 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 5.2061s | Status: 200
2026-03-21 22:10:49,412 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 5.0321s | Status: 200
2026-03-21 22:10:53,541 - API_MONITOR - INFO - Path: /api/movies/genre/Sci-Fi | Method: GET | Latency: 4.1252s | Status: 200
2026-03-21 22:11:03,451 - API_MONITOR - INFO - Path: /api/movies/genre/Adventure | Method: GET | Latency: 0.0687s | Status: 200
2026-03-21 22:11:03,495 - API_MONITOR - INFO - Path: /api/movies/genre/Adventure | Method: GET | Latency: 0.0401s | Status: 200
2026-03-21 22:11:12,754 - API_MONITOR - INFO - Path: /api/movies/genre/Comedy | Method: GET | Latency: 0.0747s | Status: 200
2026-03-21 22:11:19,715 - API_MONITOR - INFO - Path: /api/movies/13 | Method: GET | Latency: 0.0403s | Status: 200
2026-03-21 22:11:20,085 - API_MONITOR - INFO - Path: /api/movies/13 | Method: GET | Latency: 0.0326s | Status: 200
2026-03-21 22:11:29,207 - API_MONITOR - INFO - Path: /api/search | Method: GET | Latency: 0.0008s | Status: 307
2026-03-21 22:11:29,215 - API_MONITOR - INFO - Path: /api/search | Method: GET | Latency: 0.0009s | Status: 307
2026-03-21 22:11:34,929 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0963s | Status: 200
2026-03-21 22:11:34,972 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0402s | Status: 200
2026-03-21 22:11:35,016 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.0408s | Status: 200
2026-03-21 22:11:35,059 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0395s | Status: 200
2026-03-21 22:11:35,104 - API_MONITOR - INFO - Path: /api/movies/trending | Method: GET | Latency: 0.0406s | Status: 200
2026-03-21 22:11:35,148 - API_MONITOR - INFO - Path: /api/movies/toprated | Method: GET | Latency: 0.0401s | Status: 200
2026-03-21 22:11:35,174 - API_MONITOR - INFO - Path: /api/movies/bollywood | Method: GET | Latency: 0.0344s | Status: 200
2026-03-21 22:11:35,201 - API_MONITOR - INFO - Path: /api/movies/anime | Method: GET | Latency: 0.0603s | Status: 200
2026-03-21 22:11:37,737 - API_MONITOR - INFO - Path: /api/movies/nowplaying | Method: GET | Latency: 2.9036s | Status: 200
2026-03-21 22:11:37,847 - API_MONITOR - INFO - Path: /api/movies/genre/Action | Method: GET | Latency: 0.1055s | Status: 200
2026-03-21 22:11:37,883 - API_MONITOR - INFO - Path: /api/movies/genre/Romance | Method: GET | Latency: 0.0322s | Status: 200
2026-03-21 22:11:37,923 - API_MONITOR - INFO - Path: /api/movies/genre/Horror | Method: GET | Latency: 0.0333s | Status: 200
